id,source_name,source_url,context_repository,record_id,title,author,year,uploader_name,uploader_email,doi,description,license,qda_file_url,file_url,local_directory,local_filename,local_file_path,file_type,is_qda_file,download_status,downloaded_at
83,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/1027,SADA,1027,General Household Survey 2024,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/1027/ddi,E:\Seeding-QDArchive\data\downloads\sada\1027_General Household Survey 2024,metadata-1027.xml,E:\Seeding-QDArchive\data\downloads\sada\1027_General Household Survey 2024\metadata-1027.xml,.xml,0,success,2026-04-02T17:44:48.143414+00:00
84,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/1027,SADA,1027,General Household Survey 2024,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/1027/json,E:\Seeding-QDArchive\data\downloads\sada\1027_General Household Survey 2024,metadata-1027.json,E:\Seeding-QDArchive\data\downloads\sada\1027_General Household Survey 2024\metadata-1027.json,.json,0,success,2026-04-02T17:44:50.919821+00:00
85,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/961,SADA,961,General Household Survey 2023,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/961/ddi,E:\Seeding-QDArchive\data\downloads\sada\961_General Household Survey 2023,metadata-961.xml,E:\Seeding-QDArchive\data\downloads\sada\961_General Household Survey 2023\metadata-961.xml,.xml,0,success,2026-04-02T17:44:57.166956+00:00
86,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/961,SADA,961,General Household Survey 2023,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/961/json,E:\Seeding-QDArchive\data\downloads\sada\961_General Household Survey 2023,metadata-961.json,E:\Seeding-QDArchive\data\downloads\sada\961_General Household Survey 2023\metadata-961.json,.json,0,success,2026-04-02T17:44:59.948420+00:00
87,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/945,SADA,945,General Household Survey 2022,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/945/pdf-documentation,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022,ddi-documentation-english-945.pdf,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022\ddi-documentation-english-945.pdf,.pdf,0,success,2026-04-02T17:45:05.276093+00:00
88,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/945,SADA,945,General Household Survey 2022,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/945/ddi,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022,metadata-945.xml,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022\metadata-945.xml,.xml,0,success,2026-04-02T17:45:10.060132+00:00
89,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/945,SADA,945,General Household Survey 2022,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/945/json,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022,metadata-945.json,E:\Seeding-QDArchive\data\downloads\sada\945_General Household Survey 2022\metadata-945.json,.json,0,success,2026-04-02T17:45:12.773292+00:00
90,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/611,SADA,611,Community Survey 2016,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/611/ddi,E:\Seeding-QDArchive\data\downloads\sada\611_Community Survey 2016,metadata-611.xml,E:\Seeding-QDArchive\data\downloads\sada\611_Community Survey 2016\metadata-611.xml,.xml,0,success,2026-04-02T17:45:19.019595+00:00
91,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/611,SADA,611,Community Survey 2016,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/metadata/export/611/json,E:\Seeding-QDArchive\data\downloads\sada\611_Community Survey 2016,metadata-611.json,E:\Seeding-QDArchive\data\downloads\sada\611_Community Survey 2016\metadata-611.json,.json,0,success,2026-04-02T17:45:21.779609+00:00
92,SADA,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/518,SADA,518,Graduate Destination Survey 2012,,,,,,,,,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/518/pdf-documentation,E:\Seeding-QDArchive\data\downloads\sada\518_Graduate Destination Survey 2012,ddi-documentation-english-518.pdf,E:\Seeding-QDArchive\data\downloads\sada\518_Graduate Destination Survey 2012\ddi-documentation-english-518.pdf,.pdf,0,success,2026-04-02T17:45:26.894762+00:00
